,price,bedrooms,bathrooms,sqft_living,sqft_lot,floors,waterfront,view,condition,sqft_above,sqft_basement,yr_built,yr_renovated,city,statezip
38,403000.0,3.0,2.0,1960,13100,1.0,0,2,5,1650,310,64,0,506793.05555555556,98166
39,750000.0,3.0,2.5,2390,6550,1.0,0,2,4,1440,950,66,12,556957.0433985672,98116
40,335000.0,3.0,2.25,1580,16215,1.0,0,0,4,1580,0,43,21,692681.8181818182,98024
41,260000.0,4.0,2.0,1480,8625,1.0,0,0,4,1480,0,47,0,377040.96632902045,98055
42,308500.0,2.0,1.0,850,6174,1.0,0,0,4,850,0,71,38,420392.3640469756,98155
43,439950.0,3.0,2.5,1770,2875,2.0,0,0,3,1770,0,31,12,556957.0433985672,98116
44,235000.0,2.0,1.0,1210,9400,1.0,0,0,2,1210,0,72,0,556957.0433985672,98106
45,315000.0,3.0,1.0,1160,9180,1.0,0,0,3,1160,0,53,24,609565.0217391305,98077
46,437500.0,3.0,2.25,1970,35100,2.0,0,0,4,1970,0,44,0,596163.7474747486,98027
47,407500.0,3.0,2.5,1930,10460,2.0,0,0,3,1930,0,25,0,377040.96632902045,98059
48,445700.0,3.0,2.5,1270,1180,3.0,0,0,3,1270,0,20,0,556957.0433985672,98107
49,838000.0,4.0,2.5,3310,42998,2.0,0,0,3,3310,0,20,0,660759.1481777306,98052
50,630000.0,4.0,2.75,2710,37277,2.0,0,0,3,2710,0,21,0,596163.7474747486,98027
51,550000.0,3.0,1.75,2910,35200,1.5,0,0,3,2910,0,42,7,677072.282288299,98075
52,805000.0,3.0,2.0,2710,4500,1.5,0,0,4,1880,830,92,0,556957.0433985672,98115
53,284000.0,3.0,1.75,1800,23103,1.0,0,0,3,1800,0,53,24,508751.95454545453,98014
54,470000.0,5.0,2.5,2210,9655,1.0,0,0,3,1460,750,45,0,481441.8939393939,98011
55,430000.0,4.0,1.5,1920,10000,1.0,0,0,4,1070,850,67,42,800504.1475768297,98006
56,491500.0,4.0,1.75,2190,125452,1.0,0,2,3,2190,0,53,24,299340.44276556815,98092
57,785000.0,5.0,3.25,3660,11995,2.0,0,2,3,3660,0,15,0,536305.2957746478,98065
58,385000.0,3.0,3.25,1320,1327,2.0,0,0,3,1040,280,13,0,556957.0433985672,98199
59,295000.0,2.0,2.5,1630,1368,2.0,0,0,3,1280,350,12,0,556957.0433985672,98106
60,555000.0,4.0,2.5,3310,6500,2.0,0,0,3,3310,0,9,109,536305.2957746478,98065
61,459990.0,3.0,2.5,2680,5539,2.0,0,0,3,2680,0,8,98,399565.70666666003,98045
62,625000.0,4.0,3.25,2730,54014,1.0,0,0,3,1560,1170,14,0,377040.96632902045,98059
63,300000.0,3.0,2.5,2540,5050,2.0,0,0,3,2540,0,15,0,297370.12097782607,98042
64,625000.0,4.0,2.75,2920,6605,2.0,0,0,3,2920,0,9,109,377040.96632902045,98059
65,553000.0,2.0,1.0,900,5000,1.0,0,0,3,900,0,77,0,556957.0433985672,98117
66,379880.0,3.0,2.5,1650,14054,1.0,0,0,4,1130,520,35,0,596163.7474747486,98027
67,310000.0,3.0,1.0,1010,9945,1.0,0,0,4,1010,0,48,0,536305.2957746478,98065
68,775000.0,2.0,2.5,2680,7392,1.0,0,0,3,2680,0,17,18,660759.1481777306,98053
69,365000.0,3.0,2.5,2200,7350,1.0,0,0,5,1570,630,33,0,377040.96632902045,98058
70,331950.0,4.0,2.5,2530,9933,2.0,0,2,3,2010,520,31,12,299340.44276556815,98092
71,783500.0,3.0,2.5,2850,7130,2.0,0,0,3,1990,860,41,0,556957.0433985672,98122
72,628000.0,4.0,2.0,2280,6010,1.0,0,0,3,1140,1140,121,16,556957.0433985672,98122
73,560000.0,3.0,2.5,1900,8744,2.0,0,0,3,1900,0,34,21,677072.282288299,98074
74,900000.0,3.0,1.0,1330,77972,1.0,0,0,3,1330,0,93,67,627816.9280368324,98033
75,531000.0,2.0,3.0,1270,1175,2.0,0,0,3,1110,160,21,0,556957.0433985672,98103
76,831000.0,4.0,3.0,2170,4000,2.0,0,0,4,1610,560,39,10,556957.0433985672,98112
77,780000.0,4.0,2.5,2730,10281,2.0,0,2,3,2730,0,25,0,677072.282288299,98074
78,755000.0,4.0,2.5,2120,10202,1.0,0,0,4,1620,500,61,20,800504.1475768297,98005
79,705380.0,3.0,2.5,2490,4343,2.0,0,0,3,2490,0,18,0,596163.7474747486,98029
80,627000.0,4.0,2.25,1990,7712,1.0,0,0,3,1210,780,48,8,596163.7474747486,98027
81,865000.0,4.0,3.0,3690,9892,2.0,0,0,3,3690,0,23,15,677072.282288299,98075
82,580000.0,2.0,1.0,2540,7000,1.0,0,0,5,1320,1220,79,0,556957.0433985672,98118
83,410000.0,3.0,2.25,1800,36704,1.0,0,0,4,1360,440,43,21,596163.7474747486,98027
84,485000.0,4.0,3.0,2340,7048,1.0,0,0,4,1340,1000,42,0,627816.9280368324,98034
85,400000.0,2.0,1.75,2110,9519,1.0,0,0,2,2110,0,73,0,420392.3640469756,98155
86,549000.0,2.0,1.0,1140,5400,1.0,0,0,5,1140,0,113,0,556957.0433985672,98112
87,620000.0,3.0,1.75,1480,2185,2.5,0,0,3,1480,0,16,0,627816.9280368324,98033
88,405000.0,2.0,3.0,1410,1240,2.0,0,0,3,1140,270,15,0,556957.0433985672,98136
89,232000.0,2.0,1.0,1200,8063,1.0,0,0,4,1200,0,63,49,304992.54679803445,98198
90,800866.0,5.0,2.5,3180,13806,2.0,0,0,4,3180,0,31,0,627816.9280368324,98033
91,650000.0,3.0,1.5,2160,9000,1.0,0,2,4,1400,760,72,36,556957.0433985672,98177
92,823000.0,6.0,1.75,2920,5000,2.5,0,0,4,2780,140,113,0,556957.0433985672,98122
93,770000.0,3.0,2.0,2350,5700,1.5,0,0,4,1810,540,82,32,556957.0433985672,98112
94,524000.0,3.0,1.75,1560,5520,1.0,0,0,4,780,780,77,0,556957.0433985672,98199
95,541125.0,5.0,2.75,2740,8426,1.0,0,0,4,1370,1370,61,20,800504.1475768297,98006
96,670000.0,3.0,2.5,1680,2000,3.0,0,0,3,1680,0,112,23,556957.0433985672,98105
97,384900.0,5.0,2.5,3090,12750,1.0,0,0,3,1750,1340,53,24,289887.70398969593,98023
98,406100.0,3.0,2.25,1410,1332,3.0,0,0,3,1410,0,16,0,556957.0433985672,98103
99,1395000.0,5.0,3.5,4010,8510,2.0,0,1,5,2850,1160,50,0,556957.0433985672,98105
100,736500.0,4.0,2.5,3180,21904,2.0,0,3,3,3180,0,21,0,377040.96632902045,98059
101,570000.0,3.0,2.25,2010,6000,1.0,0,0,3,1330,680,46,0,660759.1481777306,98052
102,787000.0,3.0,1.75,1330,7500,1.0,0,0,3,1330,0,60,17,800504.1475768297,98004
103,328000.0,4.0,2.5,2370,6500,2.0,0,0,3,2370,0,23,15,299340.44276556815,98092
104,435000.0,5.0,2.0,1840,9240,1.0,0,0,4,1540,300,79,63,556957.0433985672,98133
105,499000.0,4.0,2.5,2910,6479,2.0,0,0,3,2910,0,15,0,536305.2957746478,98065
106,501000.0,4.0,1.0,2070,7519,1.0,0,0,3,1160,910,58,13,800504.1475768297,98008
107,1090000.0,4.0,2.5,4340,141570,2.5,0,0,3,4340,0,29,0,660759.1481777306,98053
108,400000.0,2.0,1.0,840,5510,1.0,0,0,3,840,0,66,16,556957.0433985672,98136
109,220000.0,4.0,1.5,1240,9600,1.0,0,0,3,1240,0,50,0,289887.70398969593,98023
110,657100.0,4.0,1.0,1390,4240,1.0,0,0,3,1050,340,97,10,556957.0433985672,98103
111,309950.0,4.0,2.75,2310,5000,2.0,0,0,3,2310,0,15,0,336474.9118055521,98038
112,300000.0,3.0,2.0,1050,10072,1.0,0,0,3,1050,0,35,0,403994.12698411907,98019
113,525888.0,5.0,1.75,2550,71874,1.0,0,0,5,1810,740,61,0,596163.7474747486,98027
114,740000.0,4.0,1.75,2010,3600,1.5,0,0,3,2010,0,119,0,556957.0433985672,98119
115,340000.0,5.0,1.0,1120,9022,1.5,0,0,4,1120,0,59,0,627816.9280368324,98034
116,398750.0,3.0,2.5,2230,4000,2.0,0,0,3,2230,0,67,16,556957.0433985672,98144
117,206000.0,2.0,1.0,810,7158,1.0,0,0,5,810,0,77,0,348947.2484985,98168
118,1030000.0,5.0,2.75,3190,16920,1.0,0,3,3,1690,1500,45,0,800504.1475768297,98006
119,600000.0,3.0,1.75,1670,39639,1.0,0,0,4,1670,0,45,29,677072.282288299,98075
120,379950.0,4.0,1.75,1970,9389,1.0,0,0,5,1140,830,61,0,420392.3640469756,98133
121,287000.0,3.0,1.0,1450,6000,1.0,0,0,4,1450,0,68,38,556957.0433985672,98118
123,309950.0,3.0,2.5,1880,7838,2.0,0,0,3,1880,0,27,0,377040.96632902045,98055
124,600000.0,3.0,1.75,1880,6360,1.0,0,0,4,1040,840,76,0,556957.0433985672,98115
125,418000.0,3.0,2.0,1410,6030,1.5,0,0,4,1410,0,91,0,556957.0433985672,98103
126,449250.0,4.0,2.0,1480,3844,1.5,0,0,5,1480,0,93,51,556957.0433985672,98133
127,329950.0,2.0,1.0,1140,5250,1.5,0,0,4,1140,0,72,36,556957.0433985672,98133
128,245000.0,3.0,1.75,1920,9306,1.0,0,0,3,1000,920,37,0,299340.44276556815,98001
129,549000.0,4.0,2.5,2910,6338,2.0,0,0,3,2910,0,13,0,377040.96632902045,98059
130,800000.0,3.0,2.5,3240,7857,2.0,0,0,3,3240,0,27,0,677072.282288299,98075
131,249950.0,3.0,2.0,1550,15040,1.0,0,0,4,1550,0,63,49,377040.96632902045,98059
132,210000.0,5.0,2.0,2050,10200,1.0,0,0,3,1430,620,65,20,304992.54679803445,98198
133,1425000.0,2.0,2.5,2220,4000,2.0,0,0,3,2220,0,21,0,556957.0433985672,98112
134,585000.0,2.0,1.0,1770,8640,1.5,0,0,3,1520,250,72,23,556957.0433985672,98117
135,615000.0,4.0,1.75,2300,11700,1.0,0,0,4,1960,340,44,0,660759.1481777306,98052
136,618500.0,3.0,2.0,1800,5000,1.0,0,0,4,1080,720,79,39,556957.0433985672,98115
137,487585.0,4.0,1.75,2010,9211,1.0,0,0,3,1470,540,44,17,627816.9280368324,98034
138,509900.0,3.0,2.5,1790,2700,2.0,0,0,3,1790,0,11,0,596163.7474747486,98027
139,631625.0,4.0,2.5,2440,6651,2.0,0,0,3,2440,0,7,0,556957.0433985672,98117
140,555000.0,3.0,2.5,1940,3211,2.0,0,0,3,1940,0,12,0,596163.7474747486,98027
141,340000.0,2.0,1.5,1160,1438,2.0,0,0,3,1160,0,20,0,556957.0433985672,98144
142,830000.0,4.0,2.5,3400,9692,2.0,0,0,3,3400,0,14,0,660759.1481777306,98052
143,890000.0,4.0,4.25,4420,5750,2.0,0,0,3,3410,1010,15,0,596163.7474747486,98027
144,366750.0,3.0,3.0,1571,2017,3.0,0,0,3,1571,0,13,0,556957.0433985672,98125
145,415000.0,3.0,2.25,1620,998,2.5,0,0,3,1540,80,11,0,596163.7474747486,98029
146,416286.0,3.0,2.5,1408,989,3.0,0,0,3,1408,0,16,0,556957.0433985672,98115
147,478000.0,3.0,2.5,3040,4535,2.0,0,0,3,3040,0,14,0,377040.96632902045,98056
148,890000.0,5.0,3.5,4490,6000,2.0,0,0,3,3200,1290,15,0,596163.7474747486,98027
149,419190.0,2.0,2.5,1590,1426,2.0,0,0,3,1590,0,7,0,596163.7474747486,98029
150,712198.0,4.0,2.5,2450,4247,2.0,0,0,3,2450,0,8,98,660759.1481777306,98052
151,397000.0,4.0,2.0,1440,7680,1.0,0,0,3,1200,240,50,0,627816.9280368324,98034
152,450000.0,2.0,2.0,1100,3000,1.5,0,0,3,1100,0,109,16,556957.0433985672,98117
153,353000.0,3.0,1.0,1350,7740,1.0,0,0,4,860,490,74,33,556957.0433985672,98125
154,609000.0,4.0,2.5,2150,37981,2.0,0,0,3,2150,0,36,0,660759.1481777306,98052
155,234000.0,3.0,1.75,1490,8366,1.0,0,0,4,1010,480,46,0,296230.39867109305,98042
156,561000.0,3.0,2.0,2000,7000,2.0,0,0,3,2000,0,105,35,556957.0433985672,98136
157,469000.0,2.0,1.0,1030,4400,1.0,0,0,3,1030,0,97,10,556957.0433985672,98117
158,329350.0,2.0,1.0,720,6687,1.0,0,0,3,720,0,79,22,556957.0433985672,98117
159,488000.0,5.0,2.0,2020,5000,1.5,0,0,4,2020,0,83,0,556957.0433985672,98117
160,279900.0,3.0,1.75,1580,8151,1.0,0,1,4,1100,480,59,0,304992.54679803445,98198
161,606000.0,4.0,2.5,2110,13850,2.0,0,0,3,2110,0,34,21,596163.7474747486,98027
162,312000.0,4.0,2.0,1300,7054,1.0,0,0,3,1300,0,71,8,556957.0433985672,98146
163,650000.0,3.0,1.5,1630,7475,1.0,0,1,3,1160,470,81,25,556957.0433985672,98115
164,1135000.0,4.0,2.75,3370,8103,1.0,0,3,3,1970,1400,51,7,556957.0433985672,98136
165,325000.0,4.0,2.5,1890,6156,1.0,0,0,3,980,910,41,0,556957.0433985672,98106
166,425000.0,4.0,2.0,1520,7983,1.0,0,0,5,1520,0,54,0,425000.0,98034
167,219000.0,2.0,1.0,900,5160,1.0,0,0,3,900,0,69,13,556957.0433985672,98106
168,250000.0,3.0,1.0,1050,6874,1.0,0,0,3,1050,0,67,16,420392.3640469756,98133
169,390000.0,3.0,1.75,1260,6500,1.0,0,0,4,1260,0,55,0,800504.1475768297,98008
170,475000.0,6.0,3.0,3470,117612,1.5,0,0,3,3470,0,97,10,447494.0404040303,98028
171,736000.0,4.0,2.5,2290,12047,2.0,0,0,4,2290,0,33,0,800504.1475768297,98006
172,407000.0,4.0,2.25,2810,23400,1.0,0,1,3,1710,1100,63,17,304992.54679803445,98198
173,272000.0,3.0,2.5,1650,13816,2.0,0,0,3,1650,0,23,15,508751.95454545453,98014
174,362000.0,3.0,2.25,1640,14374,1.0,0,0,4,1140,500,58,0,348947.2484985,98148
175,535000.0,3.0,2.5,1850,10109,2.0,0,0,3,1850,0,30,0,627816.9280368324,98034
176,284000.0,4.0,2.5,2000,5390,2.0,0,0,3,2000,0,18,0,297370.12097782607,98042
177,367500.0,3.0,1.5,1410,9647,1.0,0,0,3,1410,0,60,17,420392.3640469756,98177
178,379900.0,4.0,1.75,1500,11600,1.0,0,0,4,1000,500,66,12,447494.0404040303,98028
179,520000.0,3.0,2.5,2460,54885,2.0,0,0,4,2460,0,41,0,377040.96632902045,98059
180,175000.0,3.0,1.0,1010,7034,1.0,0,0,3,1010,0,67,16,377040.96632902045,98057
181,460000.0,2.0,2.25,1230,929,2.0,0,0,3,1020,210,17,18,556957.0433985672,98112
182,345000.0,4.0,2.5,2331,3826,2.0,0,0,3,2331,0,14,0,377040.96632902045,98058
183,455000.0,5.0,2.5,2240,7770,1.0,0,0,3,1340,900,43,0,627816.9280368324,98034
184,610000.0,4.0,3.0,2450,10117,1.0,0,0,5,1580,870,54,0,800504.1475768297,98006
185,563000.0,4.0,3.0,3100,15480,2.0,0,0,3,2400,700,25,0,447494.0404040303,98028
186,612500.0,4.0,2.0,2060,5000,1.0,0,0,3,1030,1030,72,8,556957.0433985672,98117
187,218000.0,3.0,1.75,1850,7684,1.0,0,0,3,1320,530,42,7,289887.70398969593,98023
188,404000.0,4.0,1.75,1840,10720,1.0,0,0,3,960,880,63,17,800504.1475768297,98008
189,860000.0,4.0,2.0,3740,32417,2.0,0,0,3,3740,0,21,0,660759.1481777306,98053
190,136500.0,3.0,1.5,1420,8580,1.0,0,0,3,1420,0,59,18,289887.70398969593,98023
191,313950.0,3.0,1.0,1510,6083,1.0,0,0,4,860,650,81,20,556957.0433985672,98115
192,575000.0,3.0,1.75,2130,6500,1.0,0,2,3,1170,960,67,16,556957.0433985672,98199
193,1225000.0,4.0,2.25,3490,6906,2.0,0,0,4,2280,1210,93,0,556957.0433985672,98199
194,280000.0,3.0,1.75,1630,11800,1.0,0,0,4,1630,0,50,0,399565.70666666003,98045
195,515000.0,3.0,2.5,1790,7167,2.0,0,0,3,1790,0,32,0,677072.282288299,98074
196,513000.0,4.0,2.5,2000,5684,2.0,0,0,3,2000,0,25,0,447494.0404040303,98028
197,599000.0,4.0,2.25,2260,29930,2.0,0,0,4,1400,860,44,0,800504.1475768297,98006
198,685000.0,4.0,2.5,3030,7864,2.0,0,0,3,3030,0,22,0,677072.282288299,98074
199,365000.0,3.0,1.5,1310,8160,1.0,0,0,3,1310,0,71,16,556957.0433985672,98133
200,762300.0,4.0,2.5,3880,14550,2.0,0,0,3,3880,0,34,21,677072.282288299,98074
201,1580000.0,4.0,3.25,3760,10920,1.5,0,0,5,2400,1360,71,0,556957.0433985672,98105
202,562000.0,5.0,2.25,3040,8111,2.0,0,0,3,3040,0,37,0,660759.1481777306,98052
203,530000.0,5.0,2.5,2910,9636,1.0,0,0,4,1690,1220,57,0,800504.1475768297,98008
204,525000.0,3.0,2.5,2970,11985,1.0,0,0,3,1770,1200,26,0,677072.282288299,98074
205,484000.0,2.0,1.75,1660,6000,1.0,0,0,3,1160,500,79,22,556957.0433985672,98105
206,725126.0,4.0,2.5,3200,12369,2.0,0,0,3,3200,0,23,15,666046.696969697,98059
207,360000.0,4.0,2.0,2680,18768,1.0,0,0,5,2680,0,56,0,299340.44276556815,98001
208,387000.0,3.0,1.0,1230,9568,1.0,0,0,5,1230,0,59,0,666046.696969697,98056
209,483500.0,4.0,2.5,2740,45732,2.0,0,0,3,2740,0,26,0,609565.0217391305,98077
210,655500.0,4.0,3.5,3380,8330,2.0,0,0,3,3380,0,21,0,420392.3640469756,98177
211,345000.0,3.0,1.0,1110,6250,1.0,0,0,3,1110,0,65,20,556957.0433985672,98115
212,533000.0,5.0,2.75,1800,3780,1.5,0,0,3,1400,400,95,18,556957.0433985672,98103
213,385000.0,3.0,1.75,1900,5520,1.0,0,0,3,1280,620,39,0,556957.0433985672,98118
214,675000.0,2.0,1.0,930,36478,1.0,0,2,3,930,0,70,27,800504.1475768297,98006
215,197000.0,3.0,1.75,1690,7735,1.0,0,0,4,1060,630,45,29,299340.44276556815,98001
216,485000.0,3.0,2.0,1420,4080,1.5,0,0,3,1420,0,116,8,556957.0433985672,98103
217,1870000.0,5.0,4.0,4510,15175,2.0,0,0,3,4510,0,52,19,1010374.806584358,98040
218,295000.0,3.0,2.25,1980,8000,1.0,0,0,4,1560,420,47,0,289887.70398969593,98023
219,499000.0,2.0,1.75,1170,2400,1.0,0,0,4,740,430,118,0,556957.0433985672,98103
220,1050000.0,3.0,2.5,2200,1970,2.0,0,0,3,1610,590,13,0,556957.0433985672,98102
221,191000.0,3.0,1.5,800,8850,1.0,0,0,4,800,0,62,0,289887.70398969593,98023
222,500000.0,3.0,2.5,1480,1171,3.0,0,0,3,1480,0,15,0,556957.0433985672,98112
223,390000.0,5.0,3.75,2890,5000,1.0,0,0,3,1310,1580,15,0,556957.0433985672,98144
224,979000.0,3.0,2.5,2690,4047,3.0,0,0,3,2690,0,7,0,556957.0433985672,98117
225,580000.0,4.0,3.25,3569,8327,2.0,0,0,3,3569,0,8,98,377040.96632902045,98055
226,369950.0,3.0,2.0,1270,1320,3.0,0,0,3,1270,0,15,0,556957.0433985672,98103
227,1800000.0,5.0,5.0,4490,10279,2.0,0,0,3,3930,560,8,98,800504.1475768297,98004
228,776000.0,4.0,2.5,3040,6425,2.0,0,0,3,3040,0,13,0,660759.1481777306,98052
229,519950.0,3.0,2.25,1170,1249,3.0,0,0,3,1170,0,7,0,556957.0433985672,98107
230,255000.0,5.0,2.25,2060,8632,1.0,0,0,3,1030,1030,59,18,348947.2484985,98146
231,495000.0,3.0,1.0,990,6000,1.0,0,0,3,990,0,78,19,556957.0433985672,98105
232,510000.0,4.0,2.5,2430,5203,2.0,0,0,3,2430,0,18,0,420392.3640469756,98155
233,1150000.0,4.0,4.0,4460,103382,2.0,0,0,3,4460,0,20,0,660759.1481777306,98053
234,253000.0,3.0,1.75,1250,10122,1.0,0,0,3,1250,0,27,0,339605.55555555556,98010
235,503000.0,3.0,2.75,1540,6760,1.0,0,0,5,1210,330,41,0,627816.9280368324,98034
236,275000.0,3.0,2.5,1600,7000,2.0,0,0,4,1600,0,28,0,336474.9118055521,98038
237,249000.0,3.0,1.0,1110,8423,1.0,0,0,3,1110,0,69,13,348947.2484985,98166
238,310000.0,3.0,1.75,1840,10723,1.0,0,0,4,1220,620,47,0,377040.96632902045,98058
239,750000.0,3.0,2.75,2520,5401,1.0,0,0,4,1360,1160,75,32,556957.0433985672,98119
240,630000.0,3.0,2.5,2680,327135,2.0,0,0,3,2680,0,26,0,514071.4285714286,98051
241,599999.0,9.0,4.5,3830,6988,2.5,0,0,3,2450,1380,83,18,556957.0433985672,98103
242,758000.0,4.0,2.75,2410,9549,1.0,0,0,4,1780,630,65,0,627816.9280368324,98033
243,248500.0,4.0,1.75,1720,10018,1.0,0,0,5,1720,0,61,0,296230.39867109305,98042
244,310000.0,3.0,1.75,2070,37904,1.0,0,0,4,1420,650,48,0,297370.12097782607,98031
245,460000.0,3.0,2.0,1760,9055,2.0,0,0,4,1760,0,36,0,660759.1481777306,98052
246,675000.0,3.0,1.75,1680,10500,1.0,0,0,4,1680,0,62,0,800504.1475768297,98005
247,526000.0,2.0,2.0,1550,2400,1.5,0,0,4,1550,0,121,50,556957.0433985672,98103
248,560000.0,3.0,3.0,4120,60392,2.0,0,2,3,3180,940,27,0,508751.95454545453,98014
249,415000.0,4.0,3.0,1830,9548,2.0,0,0,3,1830,0,30,0,481441.8939393939,98028
250,246000.0,3.0,1.0,1400,7410,1.0,0,0,3,1400,0,77,0,348947.2484985,98166
251,314500.0,3.0,1.75,1870,12381,1.0,0,0,4,1870,0,64,20,289887.70398969593,98003
253,420000.0,2.0,1.5,1040,3500,1.5,0,0,4,1040,0,117,0,556957.0433985672,98144
254,535000.0,3.0,1.75,2720,149410,1.5,0,0,3,2720,0,33,21,508751.95454545453,98014
255,350000.0,3.0,1.0,1010,9360,1.0,0,0,3,1010,0,40,8,627816.9280368324,98033
256,515000.0,3.0,1.75,1580,9147,1.0,0,1,4,1210,370,54,0,800504.1475768297,98008
257,749950.0,4.0,2.75,2600,6050,2.0,0,0,5,1960,640,72,0,556957.0433985672,98116
258,230000.0,3.0,2.5,1920,9180,2.0,0,0,3,1920,0,33,21,377040.96632902045,98057
259,568000.0,3.0,2.0,2350,5080,1.5,0,0,3,1780,570,92,0,556957.0433985672,98118
260,250000.0,1.0,1.0,1100,4373,1.0,0,0,2,820,280,74,0,348947.2484985,98166
261,581000.0,4.0,2.0,2510,13695,1.0,0,0,4,1280,1230,60,20,627816.9280368324,98033
262,651000.0,3.0,2.5,3240,108366,2.0,0,0,4,3240,0,30,0,297370.12097782607,98042
263,600000.0,3.0,2.5,2460,108900,1.0,0,0,4,1860,600,44,0,596163.7474747486,98027
264,500000.0,2.0,1.0,1010,3885,1.5,0,0,4,1010,0,115,31,556957.0433985672,98112
265,475000.0,2.0,1.0,820,2723,1.0,0,0,3,820,0,100,21,556957.0433985672,98103
266,352000.0,5.0,2.5,2420,8560,1.0,0,2,3,1620,800,43,0,556957.0433985672,98118
267,420000.0,3.0,2.25,1770,8165,2.0,0,0,3,1770,0,44,17,627816.9280368324,98034
268,428000.0,2.0,2.0,1350,3900,1.0,0,0,3,1350,0,18,0,660759.1481777306,98053
269,599000.0,3.0,1.75,1960,4788,1.0,0,0,4,1090,870,101,0,556957.0433985672,98115
270,492000.0,4.0,2.5,3305,16164,1.5,0,0,5,2245,1060,99,65,420392.3640469756,98133
271,630000.0,2.0,2.25,2550,5663,1.0,0,0,3,1720,830,10,0,377040.96632902045,98056
272,900000.0,5.0,3.75,4130,226076,2.0,0,0,3,3170,960,36,0,609565.0217391305,98077
273,1110000.0,4.0,1.5,2310,13300,1.0,0,0,3,1890,420,71,16,926822.2222222222,98004
274,575000.0,4.0,2.0,1650,5000,1.0,0,0,3,1650,0,66,16,556957.0433985672,98117
